CCTV,#genre#
东南卫视,http://192.168.31.155:4022/udp/239.77.1.213:5146
广西卫视,http://192.168.31.155:4022/udp/239.253.43.36:5146
广西卫视,http://192.168.31.155:4022/udp/239.77.0.139:5146
广西卫视,http://192.168.31.155:4022/udp/239.77.0.66:5146
广西卫视,http://192.168.31.155:4022/udp/239.77.1.59:5146
吉林卫视,http://192.168.31.155:4022/udp/239.77.1.111:5146
吉林卫视,http://192.168.31.155:4022/udp/239.77.0.150:5146
吉林卫视,http://192.168.31.155:4022/udp/239.77.0.67:5146
吉林卫视,http://192.168.31.155:4022/udp/239.77.1.45:5146
陕西卫视,http://192.168.31.155:4022/udp/239.77.0.68:5146
陕西卫视,http://192.168.31.155:4022/udp/239.77.1.54:5146
山西卫视,http://192.168.31.155:4022/udp/239.77.0.69:5146
山西卫视,http://192.168.31.155:4022/udp/239.77.1.74:5146
内蒙古卫视,http://192.168.31.155:4022/udp/239.77.0.70:5146
内蒙古卫视,http://192.168.31.155:4022/udp/239.77.1.55:5146
青海卫视,http://192.168.31.155:4022/udp/239.77.0.71:5146
青海卫视,http://192.168.31.155:4022/udp/239.77.1.70:5146
海南卫视,http://192.168.31.155:4022/udp/239.253.43.35:5146
海南卫视,http://192.168.31.155:4022/udp/239.253.43.101:5146
海南卫视,http://192.168.31.155:4022/udp/239.77.0.72:5146
海南卫视,http://192.168.31.155:4022/udp/239.77.1.51:5146
宁夏卫视,http://192.168.31.155:4022/udp/239.77.0.73:5146
宁夏卫视,http://192.168.31.155:4022/udp/239.77.1.47:5146
西藏卫视,http://192.168.31.155:4022/udp/239.77.0.74:5146
西藏卫视,http://192.168.31.155:4022/udp/239.77.1.49:5146
新疆卫视,http://192.168.31.155:4022/udp/239.77.0.75:5146
新疆卫视,http://192.168.31.155:4022/udp/239.77.1.53:5146
甘肃卫视,http://192.168.31.155:4022/udp/239.77.0.189:5146
甘肃卫视,http://192.168.31.155:4022/udp/239.77.0.76:5146
甘肃卫视,http://192.168.31.155:4022/udp/239.77.1.57:5146
兵团卫视,http://192.168.31.155:4022/udp/239.77.0.77:5146
兵团卫视,http://192.168.31.155:4022/udp/239.77.1.80:5146
厦门卫视,http://192.168.31.155:4022/udp/239.77.0.96:5146
三沙卫视,http://192.168.31.155:4022/udp/239.253.43.113:5146
三沙卫视,http://192.168.31.155:4022/udp/239.77.0.152:5146
三沙卫视,http://192.168.31.155:4022/udp/239.77.1.117:5146
延边卫视,http://192.168.31.155:4022/udp/239.77.0.10:5146
延边卫视,http://192.168.31.155:4022/udp/239.77.1.99:5146


深圳,#genre#
深圳卫视,http://192.168.31.155:4022/udp/239.77.1.3:5146
深圳卫视,http://192.168.31.155:4022/udp/239.77.1.148:5146
深圳卫视,http://192.168.31.155:4022/udp/239.77.0.92:5146
深圳卫视,http://192.168.31.155:4022/udp/239.77.0.130:5146
深圳卫视,http://192.168.31.155:4022/udp/239.77.0.55:5146
深圳卫视,http://192.168.31.155:4022/udp/239.77.1.21:5146
深圳都市频道,http://192.168.31.155:4022/udp/239.77.1.176:5146
深圳都市频道,http://192.168.31.155:4022/udp/239.77.1.124:5146
深圳都市频道,http://192.168.31.155:4022/udp/239.77.1.34:5146
深圳电视剧频道,http://192.168.31.155:4022/udp/239.77.1.177:5146
深圳电视剧频道,http://192.168.31.155:4022/udp/239.77.1.125:5146
深圳电视剧频道,http://192.168.31.155:4022/udp/239.77.1.7:5146
深圳财经生活,http://192.168.31.155:4022/udp/239.77.1.242:5146
深圳财经生活,http://192.168.31.155:4022/udp/239.77.1.22:5146
深圳娱乐频道,http://192.168.31.155:4022/udp/239.77.1.243:5146
深圳娱乐频道,http://192.168.31.155:4022/udp/239.77.1.36:5146
深圳体育健康,http://192.168.31.155:4022/udp/239.77.1.128:5146
深圳体育健康,http://192.168.31.155:4022/udp/239.77.1.140:5146
深圳体育健康,http://192.168.31.155:4022/udp/239.77.1.8:5146
深圳少儿频道,http://192.168.31.155:4022/udp/239.77.1.244:5146
深圳少儿频道,http://192.168.31.155:4022/udp/239.77.1.38:5146
深圳公共频道,http://192.168.31.155:4022/udp/239.77.1.178:5146
深圳公共频道,http://192.168.31.155:4022/udp/239.77.1.126:5146
深圳公共频道,http://192.168.31.155:4022/udp/239.77.1.9:5146
深圳宝安频道,http://192.168.31.155:4022/udp/239.77.1.67:5146
深圳宝安第一课,http://192.168.31.155:4022/udp/239.77.1.225:5146
深圳龙岗频道,http://192.168.31.155:4022/udp/239.77.1.223:5146
深圳东部频道,http://192.168.31.155:4022/udp/239.77.1.224:5146
